مع	O
وقتاه	B-Dep_Hour_Req
بالله	B-Politenesse
إي	O
إي	O
تران	B-Train
خروج	B-Departure_Cpt


ثم	B-Existence_Req
واحد_آخر	B-Train
تو	B-Dep_hour


ثم	B-Existence_Req
واحد_آخر	B-Train
بعد	B-Dep_hour
و	O


سلام_عليكم	B-Begin_Greeting
بالله	B-Politenesse
تكيه	B-Ticket
إلى	B-Destination
تونس	I-Destination
بقداه	B-Price_Req


سلام_عليكم	B-Begin_Greeting


زوز	B-Ticket_Numbers
زوز	B-Ticket_Numbers
إلى	B-Destination
تونس	I-Destination


وقتاه	B-Dep_Hour_Req
خروج	B-Departure_Cpt
هو	O


بالله	B-Politenesse
تسكره	B-Ticket
إلى	B-Destination
تونس	I-Destination
الماضي_ساعه	B-Dep_hour


الماضي_ساعه	B-Dep_hour
و	B-Dep_Hour_Req
قداه	I-Dep_Hour_Req
هوا	O


ما_عنديش	O
تسعميه	B-Fare


سلام	B-Begin_Greeting


اون	O
براتيك	O
وقتاه	B-Dep_Hour_Req
تران	B-Train


تران	B-Train
وقتاه	B-Dep_Hour_Req
إلى	B-Destination
سوسه	I-Destination


الماضي_ساعه_وربع	B-Dep_hour


تونس	B-Destination
وقتاه	B-Dep_Hour_Req


الماضي_ساعه_وأربعه	B-Dep_hour
أوكيه	B-Acceptance


سلام_عليكم	B-Begin_Greeting


خويا	B-Politenesse
قداه	B-Price_Req
أربعه	B-Ticket_Numbers
تسكره	B-Ticket


تونس	B-Destination


عادي	B-Class
اي	B-Acceptance


الماضي_ساعه	B-Dep_hour
متع	O
الماضي_ساعه_وربع	B-Dep_hour


ماهو_فيه	B-Existence_Req
كونفور	B-Train_Type
و	B-Coordination
برميير	B-Class
و	B-Coordination
دوزييم	B-Class


مرسي	B-Politenesse
يعطيك_الصحه	B-Politenesse


بالله	B-Politenesse
وقتاه	B-Dep_Hour_Req
ثم	B-Existence_Req
سوسه	B-Destination
تو	B-Dep_hour


قلعه_الصغيره	B-Destination


باهي	B-Acceptance
اعطيني	B-Booking_Req
وحده	B-Ticket_Numbers
برميير	B-Class
كلاس	B-Class_Cpt


عندك	B-Existence_Req
لوقات	B-Hour_Cpt
خويا	B-Politenesse


اعطيني	B-Booking_Req


ألي_روتور	B-Ticket_Type
تونس	B-Destination
برميير	B-Class
كلاس	B-Class_Cpt


تونس	B-Destination


تونس	B-Destination
برميير	B-Class
ألي_روتور	B-Ticket_Type
ألي	B-Ticket_Type
برميير	B-Class
ألي_روتور	B-Ticket_Type
برميير	B-Class
ان	O
ني	O
برميير	B-Class
ألي_روتور	B-Ticket_Type


ثمانيه	B-Fare
و	I-Fare
عشرين	I-Fare
و	I-Fare
ميتين	I-Fare


تونس	B-Destination


موش_ثم	B-Existence_Req
تران	B-Train
نصف_النهار	B-Dep_hour
وو	O


صار	O
تو	B-Dep_hour
لا	B-Rejection


اما	O
تران	B-Train


بالله	B-Politenesse
ثم	B-Existence_Req
ثم	B-Existence_Req
تران	B-Train
في	B-Dep_hour
النهار	I-Dep_hour


وقتاه	B-Dep_Hour_Req


إي	O
معناتها	O
كي	O
أون_برانسيب	O
في	B-Destination
ساقيه_الزيت	I-Destination
وقتاه	B-Arr_Hour_Req
وصول	I-Arr_Hour_Req


هواشي	B-Clarification_Req
في	B-Destination
ساقيه_الزيت	I-Destination
كان	O
الخمسه_ونص	B-Dep_hour
متع	O
الصباح	B-Dep_hour


الماضي_ساعه	B-Dep_hour
نجم	B-Clarification_Req
ناخذ	I-Clarification_Req
هونيا	I-Clarification_Req


قلعه_الصغيره	B-Destination


إلى	B-Destination
سوسه	I-Destination
وقتاه	B-Dep_Hour_Req


لحداش_ودرجين	B-Dep_hour


بالله	B-Politenesse
س	O
سامحني	B-Politenesse
اه	O
وقتاه	B-Arr_Hour_Req
تران	B-Train
وصول	B-Arrival_Cpt
إلى	B-Destination
تونس	I-Destination


غادي	B-Destination


سلام_عليكم	B-Begin_Greeting


تونس	B-Destination


الماضي_ساعه_وأربعه	B-Dep_hour


ثلاثه	B-Ticket_Numbers
كبيره	B-Ticket_Type
و	B-Coordination
وحده	B-Ticket_Numbers
الصغيره	B-Ticket_Type


تونس	B-Destination


هواشي	B-Clarification_Req
تحت	O
عشره	O
سنين	O
شطر	O
و	O
فوق	O
عشره	O
سنين	O
كامله	O


فهمتك	B-Acceptance


آكسبراس	B-Train_Type
تران	B-Train


منين	B-Path_Request
وصول	I-Path_Request
هو	O


برميير	B-Class
ثم	B-Existence_Req
برميير	B-Class


نبدل	O
هاك	O


تران	B-Train
